Author,Genre,Pages,Score,Title,Year
Geraldine Brooks,"Historical,Historical Fiction,Fiction,Historical,Writing,Books About Books,Mystery",372,4.03,People of the Book,2008
Ernest Cline,"Science Fiction,Fiction,Young Adult,Fantasy,Science Fiction,Dystopia",374,4.27,Ready Player One,2011
Héctor Abad Faciolince,"Nonfiction,Autobiography,Memoir,Biography,European Literature,Spanish Literature,Literature,History,Biography Memoir,Classics,Death,Cultural,Latin American",272,4.35,Oblivion: A Memoir,2013
Lois Lowry,"Young Adult,Science Fiction,Dystopia,Fiction,Fantasy,Science Fiction",169,3.91,Messenger,2006
Mark Bowden,"Nonfiction,History,Mystery,Crime,Crime,True Crime,Biography",296,3.96,Killing Pablo: The Hunt for the World's Greatest Outlaw,2002
Daniel Handler,"Young Adult,Romance,Contemporary,Fiction",354,3.47,Why We Broke Up,2011
Jessica Sorensen,"New Adult,Romance,Contemporary,Academic,College,Young Adult,Sociology,Abuse",404,4.1,The Redemption of Callie & Kayden,2013
Charlie Croker,"Nonfiction,Humor,Humanities,Language",176,3.41,Lost In Translation: Misadventures in English Abroad,2006
Anna Godbersen,"Historical,Historical Fiction,Young Adult,Romance,Historical",405,3.91,Envy,2009
Nicole Galland,"Historical,Historical Fiction,Fiction,Historical,Historical,Medieval,Novels",672,3.6,Crossed: A Tale of the Fourth Crusade,2008
Irene Rozdobudko,"Fiction,European Literature,Ukrainian Literature,Cultural,Ukraine",222,3.84,Ґудзик,2008
Gregory Zuckerman,"Economics,Finance,Business,Nonfiction,Economics,History",304,4.03,The Greatest Trade Ever: The Behind-the-Scenes Story of How John Paulson Defied Wall Street and Made Financial History,2009
C.C. Hunter,"Young Adult,Fantasy,Paranormal,Fantasy,Paranormal,Vampires,Romance",383,4.28,Awake at Dawn,2011
Tom Paver,Mystery,160,3.67,The Blood Puzzle,2012
Eileen Wilks,"Fantasy,Urban Fantasy,Fantasy,Paranormal,Fantasy,Romance,Romance,Paranormal Romance,Shapeshifters,Werewolves,Fantasy,Magic,Paranormal,Shapeshifters",343,4.06,Night Season,2008
Tracy Chevalier,"Historical,Historical Fiction,Fiction,Historical,European Literature,British Literature",336,3.58,Falling Angels,2002
Joe Haldeman,"Science Fiction,Fiction",289,3.64,Camouflage,2005
Michelle Sagara,"Fantasy,Fantasy,Magic,Fantasy,Dragons,Fantasy,Urban Fantasy,Fantasy,Paranormal,Fiction",488,4.11,Cast in Courtlight,2006
Clive Barker,"Fantasy,Young Adult,Fiction,Horror",421,4.09,Abarat,2002
Molly Harper,"Paranormal,Vampires,Fantasy,Paranormal,Romance,Romance,Paranormal Romance,Fantasy,Urban Fantasy,Fantasy",355,3.91,Nice Girls Don't Have Fangs,2009
Jonathan  Dee,"Fiction,Literary Fiction,Contemporary,Family",344,3.27,The Privileges,2011
Michel Houellebecq,"Cultural,France,European Literature,French Literature,Fiction",730,3.89,Michel Houellebecq Coffret en 3 volumes: Les Particules élémentaires ; Plateforme ; Extension du domaine de la lutte,2002
Alison Weir,"Historical,Historical Fiction,Fiction,Historical,English History,Tudor Period",402,3.95,Innocent Traitor,2007
Jodi Picoult,"Fiction,Womens Fiction,Chick Lit,Contemporary,Drama",426,3.7,Vanishing Acts,2005
Francine du Plessix Gray,"Autobiography,Memoir,Biography,Nonfiction,Biography Memoir",529,3.84,Them: A Memoir of Parents,2006
John Sandford,"Mystery,Fiction,Thriller",402,4.16,Wicked Prey,2009
Rachel Haimowitz,"Romance,M M Romance,Erotica,BDSM,Dark,Adult Fiction,Erotica,Sociology,Abuse,Fantasy",124,3.67,Anchored,2011
Will Eisner,"Sequential Art,Comics,Sequential Art,Graphic Novels,History,Nonfiction,Politics,Graphic Novels Comics",160,3.75,The Plot: The Secret Story of the Protocols of the Elders of Zion,2006
Rachel Roberts,"Fantasy,Childrens,Middle Grade",200,4.23,All's Fairy in Love and War,2003
Kevin Sessums,"Autobiography,Memoir,Nonfiction,Biography,LGBT,GLBT,Queer",320,3.62,Mississippi Sissy,2007
David Gemmell,"Fantasy,Fiction,Fantasy,Epic Fantasy,Fantasy,Heroic Fantasy",427,4.26,Ravenheart,2002
Cynthia Rylant,"Poetry,Young Adult,Historical,Adult,Historical,Historical Fiction,Realistic Fiction,Fiction",128,4.06,Ludie's Life,2006
Mishna Wolff,"Autobiography,Memoir,Nonfiction,Humor,Biography",288,3.68,I'm Down,2009
Kōji Suzuki,"Horror,Fiction,Cultural,Japan,Asian Literature,Japanese Literature,Mystery,Thriller",282,3.82,Ring,2004
Jane Johnson,"Historical,Fiction,Cultural,Africa,Historical,Historical Fiction",386,3.86,The Salt Road,2010
Sheri S. Tepper,"Science Fiction,Fantasy,Fiction,Science Fiction Fantasy",512,3.8,The Visitor,2003
David Gemmell,"Fantasy,Fiction,Fantasy,Epic Fantasy,Fantasy,Heroic Fantasy",640,4.32,The Swords of Night and Day,2005
Laura Amy Schlitz,"Historical,Historical Fiction,Poetry,Childrens,Childrens,Middle Grade",96,3.65,Good Masters! Sweet Ladies!: Voices from a Medieval Village,2007
J.R. Ward,"Paranormal,Vampires,Romance,Paranormal Romance,Fantasy,Paranormal,Romance",467,4.32,The Black Dagger Brotherhood: An Insider's Guide,2008
Steve Almond,"Music,Nonfiction,Autobiography,Memoir,Humor,Writing,Essays,Culture,Pop Culture",240,3.65,Rock and Roll Will Save Your Life: A Book by and for the Fanatics Among Us,2010
Tim Lott,"Young Adult,Science Fiction,Dystopia,Science Fiction,Fiction",266,3.83,Fearless,2007
Diane Lacombe,"Historical,Historical Fiction,Romance,Cultural,France,Historical,Roman,Romance,Historical Romance,Cultural,Scotland,European Literature,French Literature",496,3.8,Sorcha de Mallaig,2004
Carolyn Jessop,"Nonfiction,Autobiography,Memoir,Biography,Religion",413,3.98,Escape,2007
John Berger,"Fiction,Literary Fiction,Novels",199,3.83,From A to X: A Story in Letters,2008
James Frey,Fiction,416,3.85,My Friend Leonard,2006
Sheri S. Tepper,"Science Fiction,Fantasy,Fiction,Science Fiction Fantasy",528,3.87,The Margarets,2007
James Shapiro,"History,Nonfiction,Biography,Plays,Theatre",333,4.09,A Year in the Life of William Shakespeare: 1599,2006
Kurt Eichenwald,"Business,Nonfiction,History,Economics,Finance,Economics,Crime,True Crime",784,4.23,Conspiracy of Fools,2005
Adam M. Grant,"Nonfiction,Business,Psychology,Self Help,Leadership,Self Help,Personal Development",326,3.97,Originals: How Non-Conformists Move the World,2016
Lucian Bane,"Erotica,BDSM,Adult Fiction,Erotica,Romance,Humor",134,4.33,Dom Wars: Round Four,2014
